"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","주연","제작사","cluster","조연"
"가장 보통의 연애",24885803430,2924563,1073,111527,"2019-10-02","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","김한결","김래원,공효진","영화사 집",2,",강기영,정웅인,장소연,이채은,정혜린,손우현,박근록,주민경,지일주"
"감기",21774884000,3117859,806,55046,"2013-08-14","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","장혁,수애,박민하","아이러브시네마,(주)아이필름홀딩스,(주)씨제이이엔엠",2,",유해진,이희준,김기현,이상엽,박효주,박정민,보리스 스타웃,김문수,최병모,장경업,앤드류 윌리엄 브랜드"
"감시자들",39380162179,5508017,949,100309,"2013-07-03","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구,정우성,한효주","영화사 집",3,",김병옥,진경,준호,손민석,김대진,이태형,강신하,이동휘,이화정,박지훈,김지훈,성일,변요한,장원형,박지연,최원,변정현,이동진,이도윤,정재호,김준우,이현균"
"강남 1970",17718699499,2192276,841,53304,"2015-01-21","(주)쇼박스","청소년관람불가","액션,드라마","유하","이민호,김래원,정진영","(주)모베라픽처스,(주)쇼박스",1,",설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,허성민,이석,김유연,곽민호,지대한,전배수,박민규,장인호,김대종,박민이,윤종화,서우진"
"강철비",35490346466,4452850,1426,80359,"2017-12-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","정우성,곽도원","(주)와이웍스엔터테인먼트,(주)모팩",3,"김갑수,김의성,이경영,조우진,정원중,장현성,김명곤,박은혜,박선영,안미나,원진아,이재용,이윤건,김형종"
"강철중: 공공의 적 1-1",28638460100,4313101,707,74157,"2008-06-19","CJ ENM,(주)시네마서비스","15세이상관람가","드라마,액션","강우석","설경구,정재영","(주)시네마서비스글로벌,(주)시네마서비스",2,",강신일,문성근,이문식,유해진,정원중,김남길,연제욱"
"거북이 달린다",20618276000,3024666,432,69946,"2009-06-11","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석,정경호,견미리,선우선","(주)씨네이천",2,",김지나,신정근,최권,차은재,주진모,이무생,유하복,임형택,김희원"
"건축학개론",30223590400,4111237,593,106069,"2012-03-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마","이용주","엄태웅,한가인,이제훈,수지","(주)명필름",2,",조정석,유연석,김동주,이승호,김의성,박수영,조현철"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민,강동원","(주)영화사 월광,(주)사나이픽처스",4,",이성민,박성웅,김응수,신소율,박종환,한재영,주진모,김원해,전배수,김홍파,김병옥,박지환,이호철,손종학,김종수,추귀정,민무제"
"검은 사제들",42409600592,5442915,1109,131177,"2015-11-05","(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","김윤석,강동원","영화사 집",3,",박소담,김의성,손종학,이호재,남일우,김병옥,조수향,박웅,이정열,김소숙,민진웅,유수미"
"고지전",21968680600,2945151,585,53739,"2011-07-20","(주)쇼박스","15세이상관람가","드라마,전쟁","장훈","신하균,고수,이제훈,류승수,고창석,이다윗,류승룡,김옥빈,조진웅,정인기,박영서","(주)티피에스컴퍼니",2,",최정우,전국환,김강일,한승도,강영일,이승준,권혁종,김태윤,이광일,서현우,최민,홍서백"
"곡성",55864308382,6879989,1485,130332,"2016-05-12","이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진","곽도원,황정민,쿠니무라 준,천우희,김환희","(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",4,",허진,장소연,김도윤,손강국,박성연,길창규,전배수,정미남,최귀화"
"곤지암",21444236144,2675883,1124,88553,"2018-03-28","(주)쇼박스","15세이상관람가","공포(호러),스릴러","정범식","위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤","(주)하이브미디어코프",1,",박지아,이태현,한서인,정아노마,문경태"
"공공의 적 2",20091127000,3134421,299,40642,"2005-01-27","(주)시네마서비스","15세관람가","드라마","강우석","설경구,정준호","(주)시네마서비스",2,",강신일,박근형,변희봉,임승대,박상욱,엄태웅,정규수"
"공작",42795690816,4975517,1317,99122,"2018-08-08","(주)씨제이이엔엠","12세이상관람가","드라마","윤종빈","황정민,이성민,조진웅,주지훈","(주)영화사 월광,(주)사나이픽처스",3,",김홍파,정소리,기주봉,김응수,채용,박진영,남문철,최병모,김인우,정기섭,이승준,양현민,허승,엄지만,백승익,권범택,최정인,김소진,박혜영,곽자형,김지나,조주희"
"공조",63783303326,7817654,1392,142991,"2017-01-18","(주)씨제이이엔엠","15세이상관람가","액션","김성훈","현빈,유해진,김주혁","(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트",4,",장영남,이동휘,윤아,공정환,이해영,박민하,전국환,엄효섭,이이경,신현빈,박진우,박형수"
"과속스캔들",53800771400,8223266,408,145555,"2008-12-03","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","강형철","차태현,박보영,왕석현","(주)토일렛픽쳐스,(주)디씨지플러스",4,",임지규,황우슬혜,임승대,정원중,김기방,박영서"
"관상",66009791500,9135802,1240,125105,"2013-09-11","(주)쇼박스","15세이상관람가","사극,드라마","한재림","송강호,이정재,백윤식,조정석,이종석,김혜수","(주)주피터필름,(주)쇼박스",4,",김의성,정규수,채상우,이윤건,이도엽,유상재"
"광식이 동생 광태",12811265009,2024818,276,35769,"2005-11-23","(주)엠케이픽처스","15세관람가","코미디","김현석","김주혁,봉태규,이요원,김아중,정경호","(주)엠케이픽처스",1,",김형민,김효주"
"광해, 왕이 된 남자",88907726769,12323291,1001,203428,"2012-09-13","(주)씨제이이엔엠","15세이상관람가","사극,드라마","추창민","이병헌,류승룡,한효주","리얼라이즈픽쳐스(주),(주)씨제이이엔엠",5,",김인권,장광,심은경,박지아,신정근,전국향,양준모,문창길,이양희"
"괴물",66715881300,10917195,647,113093,"2006-07-27","(주)쇼박스","12세관람가","SF,가족,드라마","봉준호","송강호,변희봉,박해일,배두나,고아성","영화사청어람(주)",5,",오달수,이재응,이동호,윤제문,김뢰하,박노식,고수희"
"국가대표",57570773000,8035181,570,131671,"2009-07-29","(주)쇼박스","12세이상관람가","드라마,액션,코미디","김용화","하정우,성동일,김지석,김동욱,최재환,이재응,이은성","케이엠컬쳐㈜",4,",이한위,이혜숙,김지영,현쥬니,황하나"
"국가부도의 날",30893315837,3755233,1180,101077,"2018-11-28","(주)씨제이이엔엠","12세이상관람가","드라마","최국희","김혜수,유아인,허준호,조우진,뱅상 카셀","영화사 집",2,",김홍파,엄효섭,송영창,권해효,조한철,류덕환,박진주,장성범,전배수,염혜란,김형묵,동하,김민상,정규수"
"국제시장",110930943730,14261581,1044,212664,"2014-12-17","(주)씨제이이엔엠","12세이상관람가","드라마","윤제균","황정민,김윤진,오달수,정진영","(주)제이케이필름,(주)씨제이이엔엠",5,",장영남,라미란,김슬기,이현,김민재,태인호,황선화,엄지성,장대웅,신린아,이예은,최 스텔라 김,고윤,박선웅"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우,강동원","(주)영화사 월광,(주)쇼박스",3,",이경영,이성민,조진웅,마동석,윤지혜,주진모,송영창,정만식,김병옥,김종구,김성균,강현중,김재영,임현성"
"군함도",50510565168,6592151,2027,108775,"2017-07-26","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민,소지섭,송중기,이정현,김수안","(주)외유내강,(주)필름케이",4,",이경영,김민재,김중희,김인우,신승환,백승철,윤경호,장성범"
"굿모닝 프레지던트",18567863300,2554960,586,69955,"2009-10-22","CJ ENM","전체관람가","코미디,드라마","장진","이순재,장동건,고두심,임하룡,한채영","소란플레이먼트(주)",1,",이문수,주진모,김광현,전양자,정규수,이철민,유민석,이해영,허정규,장영남,공호석,김원해,김재건"
"굿바이 싱글",16913282195,2108561,841,56390,"2016-06-29","(주)쇼박스","15세이상관람가","코미디,드라마","김태곤","김혜수,마동석,김현수","호두앤유 엔터테인먼트(주),(주)영화사람",1,",김용건,서현진,곽시양,황미영,전석호,안재홍,이수경,진우진,김보윤"
"귀향",27249801990,3587182,876,90288,"2016-02-24","(주)와우픽쳐스","15세이상관람가","드라마","조정래","강하나,최리,박지희,서미지,홍세나,김시은,남상지,정무성,류신,임성철,이승현","주식회사 제이오엔터테인먼트코리아",2,",오지혜,정인기,김민수,박충환,윤정로"
"그것만이 내 세상",27456797382,3420172,956,95437,"2018-01-17","(주)씨제이이엔엠","12세이상관람가","코미디,드라마","최성현","이병헌,윤여정,박정민","(주)제이케이필름,(주)씨제이이엔엠",2,",문숙,최리,황석정,백현진,조관우,박지훈,김서원,홍석연"
"그놈 목소리",17598617600,2972299,498,48673,"2007-02-01","CJ ENM","12세이상관람가","드라마,스릴러","박진표","설경구,김남주","영화사 집",2,",김영철,강동원,송영창,고수희,김광규,이형철,전혜진,임종윤,김영필,김기성"
"극락도 살인사건",13328932000,2079989,368,54098,"2007-04-12","(주)엠케이픽처스 ,(주)두엔터테인먼트","15세이상관람가","공포(호러),미스터리,스릴러","김한민","박해일,박솔미,성지루","(주)두엔터테인먼트",1,",최주봉,김인문,박원상,안내상,유혜정,박길수,김병춘,정만식,이대연,오정세"
"극비수사",22389535897,2860786,894,66211,"2015-06-18","(주)쇼박스","15세이상관람가","드라마,범죄","곽경택","김윤석,유해진","(주)제이콘컴퍼니,(주)영화사 신세계",1,",송영창,이정은,장영남,장명갑,정호빈,진선미,이윤희,남문철,이준혁,윤진하,조민준,이호철"
"극한직업",139651845516,16265618,2003,292584,"2019-01-23","(주)씨제이이엔엠","15세이상관람가","코미디","이병헌","류승룡,이하늬,진선규,이동휘,공명","(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",5,",신하균,오정세,김의성,송영규,양현민,허준석,장진희,김종수,이중옥"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","(주)씨제이이엔엠","15세이상관람가","드라마","봉준호","송강호,이선균,조여정,최우식,박소담,이정은,장혜진","(주)바른손이앤에이",4,",박명훈,정지소,정현준"
"기술자들",19894297783,2564340,641,43224,"2014-12-24","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,액션","김홍선","김우빈,김영철,고창석,이현우,조윤희,임주환","(주)트리니티엔터테인먼트",1,",조달환,신승환,신구,지승현,허준석"
"꾼",31313568795,4018341,1314,117419,"2017-11-22","(주)쇼박스","15세이상관람가","범죄","장창원","현빈,유지태,배성우,박성웅,나나,안세하","(주)영화사두둥",2,",최덕문,최일화,허성태,김태훈"
"끝까지 간다",27007303900,3450305,645,84876,"2014-05-29","(주)쇼박스","15세이상관람가","액션,스릴러,범죄","김성훈","이선균,조진웅","(주)에이디사공육,(주)다세포클럽",2,",신정근,정만식,신동미,김동영,주석태,허정은,박보검,이재원"
"나쁜 녀석들: 더 무비",39560195124,4573902,1511,113938,"2019-09-11","(주)씨제이이엔엠","15세이상관람가","범죄,액션","손용호","마동석,김상중,김아중,장기용","(주)씨제이이엔엠,(주)영화사비단길",3,",박효준,김인우,이재윤,박원상,조영진,박형수,박상욱,한정현,전익령,김형묵,윤병희,지승현,강영묵"
"나의 사랑 나의 신부",16636404305,2141155,629,69684,"2014-10-08","씨네그루(주)다우기술","15세이상관람가","멜로/로맨스,코미디","임찬상","조정석,신민아","(주)필름모멘텀",1,",윤정희,배성우,라미란,전무송,이시언,고규필,서강준,유하준,장다경,황정민,손병욱,김은비,서신애,서한결,이재희"
"남한산성",31225419792,3849129,1229,71102,"2017-10-03","(주)씨제이이엔엠","15세이상관람가","사극,드라마","황동혁","이병헌,김윤석,박해일,고수,박희순","(주)싸이런픽쳐스",2,",송영창,조우진,이다윗,허성태,김법래,조아인,진선규,유순웅,박지일,최종률,문창길,김서현,김중기,윤세웅,신기준,곽자형"
"내 사랑 내 곁에",15584755500,2135509,478,65168,"2009-09-24","CJ ENM","12세이상관람가","드라마,멜로/로맨스","박진표","하지원,김명민","영화사 집",1,",남능미,임하룡,최종률,신신애,임종윤,임형준,임성민,가인,장원영,홍석연,김여진,김광규,정의철"
"내 생애 가장 아름다운 일주일",14710541000,2290709,296,41058,"2005-10-07","CJ ENM","15세관람가","멜로/로맨스","민규동","주현,오미희,천호진,진태현,엄정화,황정민,김수로,전혜진,임창정,서영희,윤진서,정경호,이병준,김유정","(주)두사부필름,(주)수필름",1,",하지원,류승수,조희봉,정경호,우현,이세영,이환"
"내 아내의 모든 것",34224467500,4598985,563,91777,"2012-05-17","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,멜로/로맨스","민규동","임수정,이선균,류승룡","(주)수필름,영화사 집",3,",이광수,김효준,이도아,김은경,염해란,이새로미,이진희,하복음"
"내가 살인범이다",20392518000,2729827,547,58415,"2012-11-08","(주)쇼박스","청소년관람불가","액션,스릴러","정병길","정재영,박시후","(주)다세포클럽,(주)쇼박스",1,",정해균,김영애,최원영,김종구,조은지,오용,박웅,장미자,남정희,민지아,류제승,장광,이재구,손종학,김민상,배성우,정건영"
"내부자들",56599221057,7072507,1129,152636,"2015-11-19","(주)쇼박스","청소년관람불가","범죄,드라마","우민호","이병헌,조승우,백윤식","(유)내부자들 문화전문회사",4,",이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우"
"내부자들: 디 오리지널",16979714975,2084868,838,47237,"2015-12-31","(주)쇼박스","청소년관람불가","범죄,드라마","우민호","이병헌,조승우,백윤식","(유)내부자들 문화전문회사",1,",이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우"
"너는 내 운명",17653822500,2701244,306,46674,"2005-09-23","CJ ENM","18세관람가","멜로/로맨스","박진표","전도연,황정민,나문희","(주)영화사봄",1,",정유석,서주희,윤제문,임종윤,김상호,고수희,김부선,김광규"
"너의 결혼식",23676244369,2820969,970,98193,"2018-08-22","메가박스중앙(주)플러스엠","12세이상관람가","멜로/로맨스","이석근","박보영,김영광","(주)필름케이,(주)외유내강",1,",강기영,고규필,장성범,차엽,서은수,배해선,전배수,서윤아"
"눈에는 눈 이에는 이",13410811500,2058616,445,46474,"2008-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,스릴러,액션","곽경택,안권태","한석규,차승원","(주)태원엔터테인먼트",1,",송영창,이병준,정인기,김지석,손병욱,차도진,이재구,김윤태,김종만,정성윤,권혁풍"
"늑대소년",46593140500,6654842,854,109134,"2012-10-31","(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기,박보영","(주)영화사비단길",4,",장영남,유연석,김향기,이영란,유승목,서동수,우정국,남정희,구본임,안도규,신비"
"달콤, 살벌한 연인",13426707100,2077590,246,38034,"2006-04-06","CJ ENM","18세관람가","스릴러,멜로/로맨스","손재곤","박용우,최강희,조은지","(주)싸이더스,(주)MBC씨앤아이",1,",정경호,이희도,조영규,선우선"
"댄싱퀸",30130775500,4058225,544,80988,"2012-01-18","(주)씨제이이엔엠","12세이상관람가","코미디,드라마","이석훈","황정민,엄정화","(주)제이케이필름,(주)씨제이이엔엠",2,",이한위,정성화,라미란,이대연,정규수,서동원,오나라,최우리,한수아,이아린,박사랑,박정민,여무영,권병길,성병숙"
"더 킹",43492302535,5317959,1310,107985,"2017-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,드라마","한재림","조인성,정우성,배성우,김아중,류준열","(주)매그넘나인",3,",김의성,김민재,정성모,정은채,김소진,황승언,오대환,정인기,송영창,고아성,박정민,조우진,정원중,류태호,한수연,이주연,성동일,이열음,김규선,장명갑,송형수,남문철,남명렬,최귀화"
"더 테러 라이브",39869706381,5584139,809,93488,"2013-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,기타","김병우","하정우,이경영,전혜진","(주)씨네이천",3,",이다윗,김소진,김홍파,김해인,한수현,이청희,강진아,강신철,최진호,김대명"
"덕혜옹주",44395967609,5599665,964,97323,"2016-08-03","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","사극,드라마","허진호","손예진,박해일","(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",3,",라미란,정상훈,박수영,김소현,박주미,안내상,토다 나호,윤제문,김재욱,여회현,신린아,이효제,이채은,이세나,김승훈,도용구,아키바 리에,이승진,금새록,류 다이스케,이황의,정세형,안상우,송서하,이중현"
"도가니",35566892800,4662829,756,88339,"2011-09-22","(주)씨제이이엔엠","청소년관람불가","드라마","황동혁","공유,정유미","(주)삼거리픽쳐스,(주)판타지오",3,",김현수,정인서,백승환,장광,김민상,임현성,김주령,엄효섭,전국환,최진호,권홍석,김지영,박혜진,김지영,엄지성,장유,남명렬"
"도둑들",93665568500,12983330,1091,155393,"2012-07-25","(주)쇼박스","15세이상관람가","액션,범죄","최동훈","김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이신제,증국상","(주)케이퍼필름",5,",주진모,기국서,최덕문,채국희,예수정,최진호"
"독전",43486831113,5063844,1532,140008,"2018-05-22","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","이해영","조진웅,류준열,김주혁,김성령,박해준","(주)용필름,보야저필름",3,",남문철,서현우,강승현,정준원,정가람,진서연,김동영,이주영,금새록"
"돈",28870244062,3389125,1431,120809,"2019-03-20","(주)쇼박스","15세이상관람가","범죄","박누리","류준열,유지태,조우진","(주)사나이픽처스,(주)영화사 월광",2,",김재영,김민재,정만식,원진아,김종수,손종학,임세미,진선규"
"디워",49340084700,7855474,622,96439,"2007-08-01","(주)쇼박스","12세이상관람가","액션,판타지","심형래","제이슨 베어,아만다 브룩스,크레이그 로빈슨,엘리자베스 페나,로버트 포스터","㈜영구아트",4,",크리스 멀키,에이미 가르시아,존 알레스,빌리 가델"
"라스트 갓파더",18511991000,2541603,547,46450,"2010-12-29","CJ ENM","12세이상관람가","코미디","심형래","심형래,하비 케이틀,마이클 리스폴리,제이슨 미웨스,조셀린 도나휴","㈜영구아트",1,",블레이크 클락,존 폴리토,캘빈 딘,폴 힙,잭 켈러,로건 쉐어,데브라 무니,존 피넷,미셀 스펙트,미쉘 매니스캘코,스테파니 다니엘슨,로버트 아미코,프랭크 스코자리,크리스찬 레바티노,로저 스톤버너,마크 알렉산더 헤르츠"
"럭키",56445023256,6975571,1234,155990,"2016-10-13","(주)쇼박스","15세이상관람가","코미디","이계벽","유해진,이준,조윤희,임지연","(주)용필름",4,",조한철,김민상,차엽,김지안,성병숙,박승태,고준,이용녀,금광산,김한규,차순형,이승철,이성욱,정희태,이동용,김서현,송요셉"
"마녀",27242029463,3189091,1117,90843,"2018-06-27","워너브러더스 코리아(주)","15세이상관람가","미스터리,액션","박훈정","김다미,조민수,박희순,최우식","(주)영화사 금월,(주)페퍼민트앤컴퍼니",2,",고민시,최정우,오미희,정다은,김병옥,이주원,김하나,이시우"
"마당을 나온 암탉",14671637000,2202093,363,39295,"2011-07-28","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션","오성윤,민성아","문소리,유승호,최민식,박철민,김상현","(주)오돌또기 ,(주)명필름",1,",전숙경,엄상현,사성웅,한신정,김지혜,홍범기,서승원,김민주,김선경,김아림,유용,허미동,이자명,이지희,홍승철,홍윤정"
"마더",19967602500,2979254,642,71407,"2009-05-28","CJ ENM","청소년관람불가","드라마","봉준호","김혜자,원빈","(주)바른손이앤에이",2,",진구,윤제문,전미선,송새벽,이영석,문희라,천우희,김병순,여무영,정영기,고규필,이미도,김진구"
"마스터",58068236865,7150586,1501,126927,"2016-12-21","(주)씨제이이엔엠","15세이상관람가","액션,범죄","조의석","이병헌,강동원,김우빈,엄지원,오달수,진경","영화사 집",4,",정원중,유연수,조현철,박해수,우도환,이순원,배정남,정수교,김정우,허형규,주석태"
"마이 웨이",15995187000,2142670,645,54348,"2011-12-21","에스케이플래닛(주),(주)씨제이이엔엠","15세이상관람가","전쟁,액션,드라마","강제규","장동건,오다기리 죠,판빙빙","(주)디렉터스",1,",김인권,김희원,오태경,곽정욱,김시후,천호진,윤희원,야마모토 타로,하마다 마나부,츠루미 신고,나츠야기 이사오,사노 시로,나카무라 쿠미,김인우"
"마파도",16751202503,2636857,178,49473,"2005-03-10","CJ ENM","15세관람가","코미디","추창민","이정진,이문식","코리아 엔터테인먼트",1,",여운계,김수미,김을동,김형자,길해연,오달수,서영희"
"말모이",23989598520,2866453,1203,87843,"2019-01-09","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","엄유나","유해진,윤계상","더램프(주)",1,",김홍파,우현,김태훈,김선영,민진웅,송영창,허성태,이성욱,조현철,조현도,박예나"
"말아톤",26284943000,4196840,238,59493,"2005-01-27","(주)쇼박스","전체관람가","드라마","정윤철","조승우,김미숙","시네라인투(주)",2,",이기영,백성현,안내상"
"맨발의 기봉이",12239242400,2005180,271,39975,"2006-04-26","(주)쇼박스","전체관람가","드라마,코미디,가족","권수경","신현준,김수미,임하룡,탁재훈,김효진","(주)태원엔터테인먼트",1,",지대한,조덕현,금동현,유민석,강수영,황은정"
"명당",17900775524,2087474,1117,58450,"2018-09-19","메가박스중앙(주)플러스엠","12세이상관람가","사극","박희곤","조승우,지성,김성균,문채원,유재명,박충선,백윤식","(주)주피터필름",1,",이원근,강태오,태인호,전신환,조현식,정재헌"
"명량",135753219310,17615039,1587,188646,"2014-07-30","(주)씨제이이엔엠","15세이상관람가","사극,액션","김한민","최민식,류승룡,조진웅","(주)빅스톤픽쳐스",5,",진구,이정현,김명곤,권율,노민우,김태훈,오타니 료헤이,이승준,김강일,박보검,이해영,장준녕,문영동,김원해,김길동,최덕문,박노식,최창균,신유람,김현태,정제우,강태영,김구택,주석태,조복래,고경표,이재구,조하석,이주실,한이진"
"목격자",21737061097,2524720,1021,71403,"2018-08-15","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","조규장","이성민,김상호,진경,곽시양","(주)에이디사공육",1,",배정화,신승환,정유민,연제욱,황영희,손종학,이재우,이민웅,장유,박봄"
"몽타주",15002458500,2095592,544,53195,"2013-05-16","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","정근섭","엄정화,김상경,송영창","(주)미인픽쳐스",1,",조희봉,유승목,정해균,박철민,기주봉,이준혁,태원석,오대환,송민지"
"미녀는 괴로워",36292848900,6081480,418,87141,"2006-12-14","(주)쇼박스","12세이상관람가","멜로/로맨스,코미디","김용화","주진모,김아중","리얼라이즈픽쳐스(주),케이엠컬쳐㈜",3,",성동일,김현숙,임현식,이한위,지서윤,박노식,명규,정성윤,베니"
"미인도",15655329500,2342579,450,69523,"2008-11-13","CJ ENM","청소년관람불가","사극,드라마,멜로/로맨스","전윤수","김규리,김영호,김남길,추자현","㈜이룸영화사,(주)영화사참",1,",한명구,박지일,권병길,최규환,여호민,황찬우,김승훈,강산,이라혜"
"밀정",61270079831,7500457,1444,138162,"2016-09-07","워너브러더스 코리아(주)","15세이상관람가","액션","김지운","송강호,공유","(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",4,",한지민,엄태구,신성록,허성태,이설구,츠루미 신고,정유안,김동영,고준,서영주,권수현,이환,곽자형,유상재,조영규,최유화,한수연,남문철,김수웅,최장원,허형규,백인권,정도원,이수광,다케다 히로미츠,성일,김의건,포스터 B. 버든,이조 오이카와,이케베 카즈히코"
"바람과 함께 사라지다",34614661161,4909937,694,78591,"2012-08-08","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,사극","김주호","차태현,오지호,민효린,성동일,신정근,고창석","(주)두타연,(주)에이디사공육",3,",송종호,이채영,천보근,김향기,김길동,김구택,독고준"
"바르게 살자",13944930000,2135606,372,55993,"2007-10-18","CJ ENM","15세이상관람가","코미디,드라마","라희찬","정재영,손병호","필름있수다",1,",이영은,고창석,이철민,주진모,이한위,유민석,조덕현,공호석,조시내,이재용,엄수정,강지원,황춘하,황효은,김관우,손병욱,이해영,이문수"
"박수건달",28379548569,3897969,603,60604,"2013-01-09","(주)쇼박스","15세이상관람가","코미디","조진규","박신양,김정태,엄지원,정혜영","주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",2,",김성균,최일화,최지호,김형범,박정자,윤송이"
